epoch,accuracy,auc_8,learning_rate,loss,precision_8,recall_8,val_accuracy,val_auc_8,val_loss,val_precision_8,val_recall_8
0,0.5162907242774963,0.8701933026313782,0.0010000000474974513,1.1860853433609009,0.6977980136871338,0.3454887270927429,0.6108871102333069,0.9187334179878235,0.9767311215400696,0.7721623778343201,0.4697580635547638
1,0.625,0.8859049081802368,0.0010000000474974513,0.9310152530670166,0.7777777910232544,0.4375,0.6315789222717285,0.9503693580627441,0.39667874574661255,0.692307710647583,0.4736842215061188
2,0.5156641602516174,0.8737232089042664,0.0010000000474974513,1.1918452978134155,0.7103193998336792,0.3622806966304779,0.6134072542190552,0.9215671420097351,0.9649671316146851,0.7792531251907349,0.47328630089759827
3,0.53125,0.8816732168197632,0.0010000000474974513,0.4564659595489502,0.7222222089767456,0.40625,0.7894737124443054,0.9609879851341248,0.4066975712776184,0.75,0.4736842215061188
4,0.5195488929748535,0.876039981842041,0.0010000000474974513,1.135107398033142,0.7054876685142517,0.36892229318618774,0.6078628897666931,0.914985179901123,1.0000371932983398,0.752561092376709,0.4813508093357086
5,0.46875,0.8600261211395264,0.0010000000474974513,0.6240163445472717,0.6153846383094788,0.25,0.6842105388641357,0.942520797252655,0.4173465073108673,0.7857142686843872,0.5789473652839661
6,0.5215538740158081,0.8770354390144348,0.0010000000474974513,1.1616543531417847,0.695012629032135,0.378947377204895,0.5493951439857483,0.8996055722236633,1.0860878229141235,0.7008196711540222,0.43094757199287415
7,0.3125,0.80078125,0.00010000000474974513,0.7428871989250183,0.4000000059604645,0.1875,0.6842105388641357,0.9607571363449097,0.3667353093624115,0.7333333492279053,0.5789473652839661
8,0.5011278390884399,0.8691548705101013,0.00010000000474974513,1.1107186079025269,0.6678520441055298,0.3530075252056122,0.5997983813285828,0.9176302552223206,0.9854515790939331,0.7558991312980652,0.4682459533214569
9,0.71875,0.9430338144302368,0.00010000000474974513,0.5783438682556152,0.8095238208770752,0.53125,0.7894737124443054,0.978300929069519,0.2698006331920624,1.0,0.7368420958518982
