epoch,accuracy,auc_1,loss,lr,precision_1,recall_1,val_accuracy,val_auc_1,val_loss,val_precision_1,val_recall_1
0,0.3317042589187622,0.7246732711791992,0.001860101823695004,0.001,0.4193088710308075,0.14749373495578766,0.45766130089759827,0.8278598785400391,0.04319771006703377,0.6564195156097412,0.18296371400356293
1,0.43521302938461304,0.8049273490905762,0.0014286215882748365,0.001,0.591141939163208,0.2458646595478058,0.41280242800712585,0.8066418170928955,0.04085869342088699,0.5340313911437988,0.20564515888690948
2,0.452004998922348,0.8211115598678589,0.0014001507079228759,0.001,0.6275401711463928,0.2592731714248657,0.5761088728904724,0.8987910747528076,0.039051737636327744,0.8314220309257507,0.36542338132858276
3,0.4771929681301117,0.8351266384124756,0.0013078845804557204,0.001,0.64644855260849,0.30451127886772156,0.5549395084381104,0.8845721483230591,0.037995610386133194,0.7788125872612,0.33719757199287415
4,0.49598997831344604,0.8504475951194763,0.0012324693379923701,0.001,0.6582152843475342,0.33182957768440247,0.5110887289047241,0.8685398101806641,0.03977920487523079,0.6838310956954956,0.33467742800712585
5,0.5048872232437134,0.8556193113327026,0.0012251943117007613,0.001,0.673658549785614,0.3461152911186218,0.5438507795333862,0.8689302802085876,0.03668585792183876,0.7378167510032654,0.38155242800712585
6,0.5139097571372986,0.8664916157722473,0.0011274766875430942,0.001,0.6665900945663452,0.3635338246822357,0.5640121102333069,0.8931382894515991,0.03825905919075012,0.7223910689353943,0.359375
7,0.5278195738792419,0.8717107176780701,0.0010931389406323433,0.001,0.6638278961181641,0.37117794156074524,0.6416330933570862,0.9273324608802795,0.03529179096221924,0.7980513572692871,0.4541330635547638
8,0.5560150146484375,0.8860355019569397,0.001000702497549355,0.001,0.7017008066177368,0.40325814485549927,0.6330645084381104,0.9236575961112976,0.03551849350333214,0.7959697842597961,0.47782257199287415
9,0.556766927242279,0.8874790072441101,0.0010156326461583376,0.001,0.6907485723495483,0.43132832646369934,0.6154233813285828,0.9187259674072266,0.034159112721681595,0.7379134893417358,0.4385080635547638
